model,layer,transform,group,cos
glove,,raw,intra,0.7880693674087524
glove,,raw,intra,0.5136803388595581
glove,,raw,intra,0.6034736633300781
glove,,raw,intra,0.6820960640907288
glove,,raw,intra,0.4909217953681946
glove,,raw,intra,0.5290830731391907
glove,,raw,intra,0.6509542465209961
glove,,raw,intra,0.7580834627151489
glove,,raw,intra,0.5228561758995056
glove,,raw,intra,0.5200504660606384
glove,,raw,intra,0.7731573581695557
glove,,raw,intra,0.7775372862815857
glove,,raw,intra,0.8106679916381836
glove,,raw,intra,0.6169851422309875
glove,,raw,intra,0.6353676915168762
glove,,raw,intra,0.7737363576889038
glove,,raw,intra,0.6087557673454285
glove,,raw,intra,0.812369167804718
glove,,raw,intra,0.668662965297699
glove,,raw,intra,0.6756110787391663
glove,,raw,intra,0.7671046257019043
glove,,raw,intra,0.8411883115768433
glove,,raw,intra,0.840035080909729
glove,,raw,intra,0.700636088848114
glove,,raw,intra,0.7141868472099304
glove,,raw,intra,0.8064605593681335
glove,,raw,intra,0.6598653197288513
glove,,raw,intra,0.8657519817352295
glove,,raw,intra,0.7570081949234009
glove,,raw,intra,0.721875011920929
glove,,raw,intra,0.8406784534454346
glove,,raw,intra,0.8335816264152527
glove,,raw,intra,0.729575514793396
glove,,raw,intra,0.8511863350868225
glove,,raw,intra,0.7157709002494812
glove,,raw,intra,0.7524389028549194
glove,,raw,intra,0.6750175952911377
glove,,raw,intra,0.7303494811058044
glove,,raw,intra,0.770790696144104
glove,,raw,intra,0.5777854323387146
glove,,raw,intra,0.5862354636192322
glove,,raw,intra,0.7635289430618286
glove,,raw,intra,0.7571624517440796
glove,,raw,intra,0.8615809082984924
glove,,raw,intra,0.7816548943519592
glove,,raw,intra,0.7479132413864136
glove,,raw,intra,0.640579342842102
glove,,raw,intra,0.7519986629486084
glove,,raw,intra,0.7700234651565552
glove,,raw,intra,0.8172163367271423
glove,,raw,intra,0.8063117861747742
glove,,raw,intra,0.7281729578971863
glove,,raw,intra,0.6268906593322754
glove,,raw,intra,0.6319184303283691
glove,,raw,intra,0.5767267942428589
glove,,raw,intra,0.680504322052002
glove,,raw,intra,0.7053832411766052
glove,,raw,intra,0.8094110488891602
glove,,raw,intra,0.6313399076461792
glove,,raw,intra,0.8165562748908997
glove,,raw,intra,0.7402545809745789
glove,,raw,intra,0.7138340473175049
glove,,raw,intra,0.5261744856834412
glove,,raw,intra,0.580965518951416
glove,,raw,intra,0.4485425651073456
glove,,raw,intra,0.7249394059181213
glove,,raw,intra,0.7598353624343872
glove,,raw,intra,0.6801983714103699
glove,,raw,intra,0.7382490634918213
glove,,raw,intra,0.6965183615684509
glove,,raw,intra,0.8014358282089233
glove,,raw,intra,0.4941217601299286
glove,,raw,intra,0.5497536659240723
glove,,raw,intra,0.7589616179466248
glove,,raw,intra,0.419644296169281
glove,,raw,intra,0.6884570717811584
glove,,raw,intra,0.4181429147720337
glove,,raw,intra,0.30910617113113403
glove,,raw,intra,0.8278782963752747
glove,,raw,intra,0.4577334225177765
glove,,raw,intra,0.558129072189331
glove,,raw,intra,0.6381385922431946
glove,,raw,intra,0.8483666181564331
glove,,raw,intra,0.7933680415153503
glove,,raw,intra,0.6580857038497925
glove,,raw,intra,0.6522148251533508
glove,,raw,intra,0.6087545156478882
glove,,raw,intra,0.47429734468460083
glove,,raw,intra,0.7754071354866028
glove,,raw,intra,0.7136300206184387
glove,,raw,intra,0.6726489067077637
glove,,raw,intra,0.795609176158905
glove,,raw,intra,0.9353026151657104
glove,,raw,intra,0.7768587470054626
glove,,raw,intra,0.8218142986297607
glove,,raw,intra,0.7515072226524353
glove,,raw,intra,0.6266388893127441
glove,,raw,intra,0.7603256702423096
glove,,raw,intra,0.7821919918060303
glove,,raw,intra,0.8473578691482544
glove,,raw,intra,0.8263296484947205
glove,,raw,intra,0.617389440536499
glove,,raw,intra,0.6961676478385925
