word,n_ctx,status
act,1424,ok_50_sampled
acted,221,ok_50_sampled
acting,621,ok_50_sampled
action,1443,ok_50_sampled
acts,363,ok_50_sampled
appear,902,ok_50_sampled
appearance,1178,ok_50_sampled
appeared,1592,ok_50_sampled
appearing,300,ok_50_sampled
appears,842,ok_50_sampled
argue,100,ok_50_sampled
argued,515,ok_50_sampled
argues,185,ok_50_sampled
arguing,140,ok_50_sampled
argument,193,ok_50_sampled
call,683,ok_50_sampled
called,4634,ok_50_sampled
calling,652,ok_50_sampled
calls,448,ok_50_sampled
carried,958,ok_50_sampled
carries,210,ok_50_sampled
carry,428,ok_50_sampled
carrying,350,ok_50_sampled
create,865,ok_50_sampled
created,1697,ok_50_sampled
creates,80,ok_50_sampled
creating,414,ok_50_sampled
decide,182,ok_50_sampled
decided,1458,ok_50_sampled
decides,242,ok_50_sampled
deciding,126,ok_50_sampled
decision,888,ok_50_sampled
develop,535,ok_50_sampled
developed,1829,ok_50_sampled
developing,401,ok_50_sampled
development,2018,ok_50_sampled
develops,103,ok_50_sampled
differ,101,ok_50_sampled
differed,66,ok_50_sampled
difference,278,ok_50_sampled
differing,73,ok_50_sampled
differs,72,ok_50_sampled
economic,584,ok_50_sampled
economics,76,ok_50_sampled
economy,417,ok_50_sampled
expand,182,ok_50_sampled
expanded,451,ok_50_sampled
expanding,138,ok_50_sampled
expands,42,ok_lowfreq
expansion,456,ok_50_sampled
go,1506,ok_50_sampled
goes,477,ok_50_sampled
going,1092,ok_50_sampled
gone,373,ok_50_sampled
happier,13,ok_lowfreq
happiness,58,ok_50_sampled
happy,369,ok_50_sampled
illegal,206,ok_50_sampled
immoral,17,ok_lowfreq
impossible,247,ok_50_sampled
inform,66,ok_50_sampled
information,865,ok_50_sampled
informed,279,ok_50_sampled
informing,25,ok_lowfreq
informs,82,ok_50_sampled
international,1924,ok_50_sampled
irregular,87,ok_50_sampled
legal,596,ok_50_sampled
length,943,ok_50_sampled
long,3758,ok_50_sampled
longer,886,ok_50_sampled
longest,301,ok_50_sampled
love,1879,ok_50_sampled
loved,176,ok_50_sampled
loves,80,ok_50_sampled
loving,58,ok_50_sampled
moral,166,ok_50_sampled
move,1112,ok_50_sampled
moved,2415,ok_50_sampled
moves,326,ok_50_sampled
moving,831,ok_50_sampled
music,4454,ok_50_sampled
musical,1010,ok_50_sampled
musician,222,ok_50_sampled
nation,564,ok_50_sampled
national,3600,ok_50_sampled
nations,615,ok_50_sampled
occur,520,ok_50_sampled
occurred,863,ok_50_sampled
occurring,176,ok_50_sampled
occurs,391,ok_50_sampled
open,1732,ok_50_sampled
opened,1585,ok_50_sampled
opening,1273,ok_50_sampled
opens,162,ok_50_sampled
plan,1025,ok_50_sampled
planned,841,ok_50_sampled
planning,397,ok_50_sampled
plans,804,ok_50_sampled
play,2824,ok_50_sampled
played,3264,ok_50_sampled
playing,1550,ok_50_sampled
plays,623,ok_50_sampled
possible,1178,ok_50_sampled
prefer,58,ok_50_sampled
preference,78,ok_50_sampled
preferred,291,ok_50_sampled
preferring,53,ok_50_sampled
prefers,43,ok_lowfreq
quick,263,ok_50_sampled
quicker,34,ok_lowfreq
quickest,23,ok_lowfreq
quickly,1071,ok_50_sampled
react,52,ok_50_sampled
reacted,68,ok_50_sampled
reacting,41,ok_lowfreq
reaction,359,ok_50_sampled
reacts,25,ok_lowfreq
read,579,ok_50_sampled
reading,408,ok_50_sampled
reads,95,ok_50_sampled
refer,178,ok_50_sampled
reference,535,ok_50_sampled
referred,759,ok_50_sampled
referring,183,ok_50_sampled
refers,258,ok_50_sampled
regular,966,ok_50_sampled
saw,1428,ok_50_sampled
science,931,ok_50_sampled
scientific,400,ok_50_sampled
scientist,106,ok_50_sampled
see,1445,ok_50_sampled
seeing,338,ok_50_sampled
seen,1730,ok_50_sampled
sees,269,ok_50_sampled
stop,698,ok_50_sampled
stopped,393,ok_50_sampled
stopping,92,ok_50_sampled
stops,181,ok_50_sampled
strength,605,ok_50_sampled
strong,1490,ok_50_sampled
stronger,175,ok_50_sampled
strongest,208,ok_50_sampled
studied,364,ok_50_sampled
studies,723,ok_50_sampled
study,1125,ok_50_sampled
studying,169,ok_50_sampled
take,2225,ok_50_sampled
taken,1635,ok_50_sampled
takes,789,ok_50_sampled
taking,1214,ok_50_sampled
talk,354,ok_50_sampled
talked,92,ok_50_sampled
talking,231,ok_50_sampled
talks,184,ok_50_sampled
took,3857,ok_50_sampled
tried,673,ok_50_sampled
tries,295,ok_50_sampled
try,398,ok_50_sampled
trying,510,ok_50_sampled
unhappy,80,ok_50_sampled
walk,339,ok_50_sampled
walked,122,ok_50_sampled
walking,237,ok_50_sampled
walks,151,ok_50_sampled
went,2135,ok_50_sampled
write,669,ok_50_sampled
writes,397,ok_50_sampled
writing,1781,ok_50_sampled
written,2377,ok_50_sampled
